a2ps 4.14-1
util-linux-ng 2.18-3
vbetool 1.1-1
vi 050325-3
videoproto 2.3.1-1
vte 0.26.2-1
wget 1.12-2
which 2.20-4
wireless-regdb 2010.11.24-1
wireless_tools 29-4
wpa_supplicant 0.7.3-1
x264 20101013-1
xarchiver 0.5.2-1
xbitmaps 1.1.0-1
xcb-proto 1.6-2
xcb-util 0.3.6-1
xchat 2.8.8-3
xdg-utils 1.0.2.20100618-1
xextproto 7.1.2-1
xf86-input-evdev 2.5.0-1
xf86-video-intel 2.13.0-4
xf86-video-vesa 2.3.0-3
xf86dgaproto 2.1-1
xf86vidmodeproto 2.3-1
xfburn 0.4.3-1
xfce-utils 4.6.2-3
xfce4-appfinder 4.6.2-1
xfce4-artwork 0.1-6
xfce4-battery-plugin 0.5.1-2
xfce4-clipman-plugin 1.1.3-1
xfce4-cpufreq-plugin 0.0.1-7
xfce4-cpugraph-plugin 1.0.0-1
xfce4-datetime-plugin 0.6.0-1
xfce4-dev-tools 4.6.0-1
xfce4-dict-plugin 0.6.0-1
xfce4-diskperf-plugin 2.1.0-5
xfce4-eyes-plugin 4.4.0-5
xfce4-fsguard-plugin 0.4.1-1
xfce4-genmon-plugin 3.2-1
xfce4-mailwatch-plugin 1.1.0-2
xfce4-messenger-plugin 0.1.0-6
xfce4-mixer 4.6.1-1
xfce4-mount-plugin 0.5.4-3
xfce4-mpc-plugin 0.3.5-1
xfce4-netload-plugin 0.4.0-5
xfce4-notes-plugin 1.7.7-1
xfce4-notifyd 0.1.0-2
xfce4-panel 4.6.4-1
xfce4-playercontrol-plugin 0.3.0-1
xfce4-power-manager 0.8.5-1
xfce4-quicklauncher-plugin 1.9.4-4
xfce4-screenshooter 1.7.9-1
xfce4-sensors-plugin 1.0.0-2
xfce4-session 4.6.2-2
xfce4-settings 4.6.5-1
xfce4-smartbookmark-plugin 0.4.2-8
xfce4-systemload-plugin 0.4.2-5
xfce4-taskmanager 1.0.0-2
xfce4-timer-plugin 0.6-1
xfce4-verve-plugin 0.3.5-1
xfce4-wavelan-plugin 0.5.5-1
xfce4-weather-plugin 0.7.3-1
xfce4-xfapplet-plugin 0.1.0-6
xfce4-xkb-plugin 0.5.3.3-2
xfconf 4.6.2-2
xfdesktop 4.6.2-2
xfprint 4.6.1-4
xfsprogs 3.1.4-1
xfwm4 4.6.2-1
xfwm4-themes 4.6.0-1
xineramaproto 1.2-1
xkeyboard-config 2.0-1
xmlto 0.0.23-1
xorg-docs 1.5-1
xorg-font-utils 7.5-2
xorg-fonts-100dpi 1.0.1-3
xorg-fonts-75dpi 1.0.1-3
xorg-fonts-alias 1.0.2-1
xorg-fonts-encodings 1.0.3-1
xorg-fonts-misc 1.0.1-1
xorg-iceauth 1.0.3-1
xorg-luit 1.1.0-1
xorg-res-utils 1.0.3-3
xorg-server 1.9.2-2
xorg-server-common 1.9.2-2
xorg-server-utils 7.6-1
xorg-sessreg 1.0.6-1
xorg-twm 1.0.4-3
xorg-utils 7.6-5
xorg-xauth 1.0.4-1
xorg-xbacklight 1.1.1-1
xorg-xcmsdb 1.0.3-1
xorg-xgamma 1.0.4-1
xorg-xhost 1.0.4-1
xorg-xinit 1.3.0-1
xorg-xinput 1.5.3-1
xorg-xkb-utils 7.5-2
xorg-xmodmap 1.0.5-1
xorg-xrandr 1.3.4-1
xorg-xrdb 1.0.7-1
xorg-xrefresh 1.0.4-1
xorg-xset 1.2.1-1
xorg-xsetroot 1.1.0-1
xproto 7.0.19-1
xterm 267-1
xulrunner 1.9.2.13-2
xvidcore 1.2.2-1
xz 5.0.0-1
zlib 1.2.5-2
